forecast_date,target,target_end_date,location,type,quantile,value
2021-10-31,1 wk ahead inc case,2021-11-06,01015,quantile,0.975,261.2338534868785
2021-10-31,1 wk ahead inc case,2021-11-06,01017,quantile,0.025,13.02493961568296
2021-10-31,1 wk ahead inc case,2021-11-06,01017,quantile,0.100,27.088649411871486
2021-10-31,1 wk ahead inc case,2021-11-06,01017,quantile,0.250,45.48644687290293
2021-10-31,1 wk ahead inc case,2021-11-06,01017,quantile,0.500,76.88480348590957
2021-10-31,1 wk ahead inc case,2021-11-06,01017,point,NA,76.88480348590957
2021-10-31,1 wk ahead inc case,2021-11-06,01017,quantile,0.750,128.9641161310423
2021-10-31,1 wk ahead inc case,2021-11-06,01017,quantile,0.900,188.75368972968351
2021-10-31,1 wk ahead inc case,2021-11-06,01017,quantile,0.975,338.26794639135994
2021-10-31,1 wk ahead inc case,2021-11-06,01019,quantile,0.025,12.233951017257944
2021-10-31,1 wk ahead inc case,2021-11-06,01019,quantile,0.100,18.539632064312148
2021-10-31,1 wk ahead inc case,2021-11-06,01019,quantile,0.250,23.2486431104877
2021-10-31,1 wk ahead inc case,2021-11-06,01019,quantile,0.500,29.60276785021549
2021-10-31,1 wk ahead inc case,2021-11-06,01019,point,NA,29.60276785021549
2021-10-31,1 wk ahead inc case,2021-11-06,01019,quantile,0.750,36.17068786954152
2021-10-31,1 wk ahead inc case,2021-11-06,01019,quantile,0.900,44.457051286889154
2021-10-31,1 wk ahead inc case,2021-11-06,01019,quantile,0.975,62.83002936551612
2021-10-31,1 wk ahead inc case,2021-11-06,01021,quantile,0.025,28.6404325604947
2021-10-31,1 wk ahead inc case,2021-11-06,01021,quantile,0.100,44.06326672549336
2021-10-31,1 wk ahead inc case,2021-11-06,01021,quantile,0.250,56.93275603488904
2021-10-31,1 wk ahead inc case,2021-11-06,01021,quantile,0.500,73.97721500985648
2021-10-31,1 wk ahead inc case,2021-11-06,01021,point,NA,73.97721500985648
2021-10-31,1 wk ahead inc case,2021-11-06,01021,quantile,0.750,91.81204285651232
2021-10-31,1 wk ahead inc case,2021-11-06,01021,quantile,0.900,111.15361365304396
2021-10-31,1 wk ahead inc case,2021-11-06,01021,quantile,0.975,152.58880086274596
2021-10-31,1 wk ahead inc case,2021-11-06,01023,quantile,0.025,3.775711612803626
2021-10-31,1 wk ahead inc case,2021-11-06,01023,quantile,0.100,7.412786752527169
2021-10-31,1 wk ahead inc case,2021-11-06,01023,quantile,0.250,10.951660752428678
2021-10-31,1 wk ahead inc case,2021-11-06,01023,quantile,0.500,15.844518183507212
2021-10-31,1 wk ahead inc case,2021-11-06,01023,point,NA,15.844518183507212
2021-10-31,1 wk ahead inc case,2021-11-06,01023,quantile,0.750,22.15296808854237
2021-10-31,1 wk ahead inc case,2021-11-06,01023,quantile,0.900,29.61822547872761
2021-10-31,1 wk ahead inc case,2021-11-06,01023,quantile,0.975,45.33341878090392
2021-10-31,1 wk ahead inc case,2021-11-06,01025,quantile,0.025,8.9399755941359
2021-10-31,1 wk ahead inc case,2021-11-06,01025,quantile,0.100,14.24706839861454
2021-10-31,1 wk ahead inc case,2021-11-06,01025,quantile,0.250,18.458682233063143
2021-10-31,1 wk ahead inc case,2021-11-06,01025,quantile,0.500,24.092051660992432
2021-10-31,1 wk ahead inc case,2021-11-06,01025,point,NA,24.092051660992432
2021-10-31,1 wk ahead inc case,2021-11-06,01025,quantile,0.750,30.36005189010187
2021-10-31,1 wk ahead inc case,2021-11-06,01025,quantile,0.900,38.40592087842019
2021-10-31,1 wk ahead inc case,2021-11-06,01025,quantile,0.975,56.05252053686878
2021-10-31,1 wk ahead inc case,2021-11-06,01027,quantile,0.025,9.1016649788127
2021-10-31,1 wk ahead inc case,2021-11-06,01027,quantile,0.100,15.521162066248875
2021-10-31,1 wk ahead inc case,2021-11-06,01027,quantile,0.250,21.10675628473172
2021-10-31,1 wk ahead inc case,2021-11-06,01027,quantile,0.500,28.80822120207684
2021-10-31,1 wk ahead inc case,2021-11-06,01027,point,NA,28.80822120207684
2021-10-31,1 wk ahead inc case,2021-11-06,01027,quantile,0.750,38.148941296194046
2021-10-31,1 wk ahead inc case,2021-11-06,01027,quantile,0.900,48.29222392985248
2021-10-31,1 wk ahead inc case,2021-11-06,01027,quantile,0.975,69.34315848014947
2021-10-31,1 wk ahead inc case,2021-11-06,01029,quantile,0.025,1.016962311648384
2021-10-31,1 wk ahead inc case,2021-11-06,01029,quantile,0.100,3.430628025712233
2021-10-31,1 wk ahead inc case,2021-11-06,01029,quantile,0.250,6.513276653560409
2021-10-31,1 wk ahead inc case,2021-11-06,01029,quantile,0.500,10.728474015878676
2021-10-31,1 wk ahead inc case,2021-11-06,01029,point,NA,10.728474015878676
2021-10-31,1 wk ahead inc case,2021-11-06,01029,quantile,0.750,17.44546161820617
2021-10-31,1 wk ahead inc case,2021-11-06,01029,quantile,0.900,25.32950251940756
2021-10-31,1 wk ahead inc case,2021-11-06,01029,quantile,0.975,46.02055612483733
2021-10-31,1 wk ahead inc case,2021-11-06,01031,quantile,0.025,11.375220191361326
2021-10-31,1 wk ahead inc case,2021-11-06,01031,quantile,0.100,21.624677860151543
2021-10-31,1 wk ahead inc case,2021-11-06,01031,quantile,0.250,31.07913641416196
2021-10-31,1 wk ahead inc case,2021-11-06,01031,quantile,0.500,43.38448116224076
2021-10-31,1 wk ahead inc case,2021-11-06,01031,point,NA,43.38448116224076
2021-10-31,1 wk ahead inc case,2021-11-06,01031,quantile,0.750,58.65270200672592
2021-10-31,1 wk ahead inc case,2021-11-06,01031,quantile,0.900,77.56526001834976
2021-10-31,1 wk ahead inc case,2021-11-06,01031,quantile,0.975,122.17561833972871
2021-10-31,1 wk ahead inc case,2021-11-06,01033,quantile,0.025,36.419605429519805
2021-10-31,1 wk ahead inc case,2021-11-06,01033,quantile,0.100,65.2434074977133
2021-10-31,1 wk ahead inc case,2021-11-06,01033,quantile,0.250,98.75969151313032
2021-10-31,1 wk ahead inc case,2021-11-06,01033,quantile,0.500,152.17289131769869
2021-10-31,1 wk ahead inc case,2021-11-06,01033,point,NA,152.17289131769869
2021-10-31,1 wk ahead inc case,2021-11-06,01033,quantile,0.750,229.54154422835768
2021-10-31,1 wk ahead inc case,2021-11-06,01033,quantile,0.900,309.5054484511517
2021-10-31,1 wk ahead inc case,2021-11-06,01033,quantile,0.975,492.0204955879232
2021-10-31,1 wk ahead inc case,2021-11-06,01035,quantile,0.025,3.503640180995887
2021-10-31,1 wk ahead inc case,2021-11-06,01035,quantile,0.100,6.9125253328066
2021-10-31,1 wk ahead inc case,2021-11-06,01035,quantile,0.250,10.419896648418424
2021-10-31,1 wk ahead inc case,2021-11-06,01035,quantile,0.500,15.170254888482525
2021-10-31,1 wk ahead inc case,2021-11-06,01035,point,NA,15.170254888482525
2021-10-31,1 wk ahead inc case,2021-11-06,01035,quantile,0.750,21.061936004600984
2021-10-31,1 wk ahead inc case,2021-11-06,01035,quantile,0.900,27.922077536943
2021-10-31,1 wk ahead inc case,2021-11-06,01035,quantile,0.975,43.844921009124334
2021-10-31,1 wk ahead inc case,2021-11-06,01037,quantile,0.025,4.18819855089582
2021-10-31,1 wk ahead inc case,2021-11-06,01037,quantile,0.100,6.637497832633484
2021-10-31,1 wk ahead inc case,2021-11-06,01037,quantile,0.250,8.694063183301672
2021-10-31,1 wk ahead inc case,2021-11-06,01037,quantile,0.500,11.40967868715358
2021-10-31,1 wk ahead inc case,2021-11-06,01037,point,NA,11.40967868715358
2021-10-31,1 wk ahead inc case,2021-11-06,01037,quantile,0.750,14.560748716298429
2021-10-31,1 wk ahead inc case,2021-11-06,01037,quantile,0.900,18.52828608554788
2021-10-31,1 wk ahead inc case,2021-11-06,01037,quantile,0.975,28.02664450345254
2021-10-31,1 wk ahead inc case,2021-11-06,01039,quantile,0.025,17.158585992829316
2021-10-31,1 wk ahead inc case,2021-11-06,01039,quantile,0.100,22.026244152222333
2021-10-31,1 wk ahead inc case,2021-11-06,01039,quantile,0.250,24.82889932679545
2021-10-31,1 wk ahead inc case,2021-11-06,01039,quantile,0.500,29.11414868552203
2021-10-31,1 wk ahead inc case,2021-11-06,01039,point,NA,29.11414868552203
2021-10-31,1 wk ahead inc case,2021-11-06,01039,quantile,0.750,33.31140783674447
2021-10-31,1 wk ahead inc case,2021-11-06,01039,quantile,0.900,39.60858611977562
2021-10-31,1 wk ahead inc case,2021-11-06,01039,quantile,0.975,52.98958605185736
2021-10-31,1 wk ahead inc case,2021-11-06,01041,quantile,0.025,5.44259669599481
2021-10-31,1 wk ahead inc case,2021-11-06,01041,quantile,0.100,11.201491911600437
2021-10-31,1 wk ahead inc case,2021-11-06,01041,quantile,0.250,17.886204316132172
2021-10-31,1 wk ahead inc case,2021-11-06,01041,quantile,0.500,28.049873931233893
2021-10-31,1 wk ahead inc case,2021-11-06,01041,point,NA,28.049873931233893
2021-10-31,1 wk ahead inc case,2021-11-06,01041,quantile,0.750,42.58308609836647
2021-10-31,1 wk ahead inc case,2021-11-06,01041,quantile,0.900,59.0052850993086
