date,cases,deaths
9/7/20,6317865,189083
9/8/20,6346807,189541
9/9/20,6380139,190716
9/10/20,6418200,191631
9/11/20,6465767,192858
9/12/20,6504871,193559
9/13/20,6538214,193958
9/14/20,6575101,194408
9/15/20,6614318,195689
9/16/20,6653586,196686
9/17/20,6698896,197535
9/18/20,6747783,198484
9/19/20,6789594,199154
9/20/20,6825950,199367
9/21/20,6880902,199797
9/22/20,6918293,200738
9/23/20,6959842,201828
9/24/20,7005046,202713
9/25/20,7059627,203566
9/26/20,7102322,204335
9/27/20,7139620,204602
9/28/20,7176980,204952
9/29/20,7220677,205878
9/30/20,7262735,206852
10/1/20,7309153,207699
10/2/20,7362733,208564
10/3/20,7410512,209273
10/4/20,7445575,209606
10/5/20,7507988,210035
10/6/20,7550850,210756
10/7/20,7603867,211752
10/8/20,7660249,212680
10/9/20,7719211,213595
10/10/20,7770859,214187
10/11/20,7815642,214606
10/12/20,7863658,214957
10/13/20,7918051,215783
10/14/20,7977904,216792
10/15/20,8043257,217585
10/16/20,8113721,218476
10/17/20,8166482,219154
10/18/20,8214364,219541
10/19/20,8279804,220058
10/20/20,8340398,220987
10/21/20,8404635,222195
10/22/20,8479765,223023
10/23/20,8565062,223953
10/24/20,8643641,224825
10/25/20,8703356,225164
10/26/20,8777994,225701
10/27/20,8852381,226684
10/28/20,8934263,227702
10/29/20,9024932,228706
10/30/20,9124800,229674
10/31/20,9209007,230512
11/1/20,9283202,230940
11/2/20,9377208,231480
11/3/20,9469624,232610
11/4/20,9577702,234226
11/5/20,9699051,235334
11/6/20,9831874,236582
11/7/20,9957805,237589
11/8/20,10061218,238053
11/9/20,10191667,238798
11/10/20,10331417,240262
11/11/20,10474295,241693
11/12/20,10637946,242865
11/13/20,10819442,244255
11/14/20,10978475,245465
11/15/20,11113661,246088
11/16/20,11280224,246884
11/17/20,11441855,248491
11/18/20,11614135,250415
11/19/20,11801643,252376
11/20/20,12000502,254333
11/21/20,12172435,255758
11/22/20,12313229,256601
11/23/20,12492852,257639
11/24/20,12670710,259848
11/25/20,12851300,262161
11/26/20,12954294,263339
11/27/20,13160133,264751
11/28/20,13311541,265943
11/29/20,13447663,266761
11/30/20,13615321,268031
12/1/20,13799549,270639
12/2/20,14000721,273525
12/3/20,14218459,276381
12/4/20,14449827,279018
12/5/20,14655535,281208
12/6/20,14827456,282319
12/7/20,15031979,283853
12/8/20,15251693,286674
12/9/20,15471409,289830
12/10/20,15696634,292771
12/11/20,15977147,295726
12/12/20,16184679,297981
12/13/20,16368898,299338
12/14/20,16569783,301016
12/15/20,16772936,304041
12/16/20,17017763,307652
12/17/20,17255472,310950
12/18/20,17506662,313820
12/19/20,17700567,316381
12/20/20,17880478,317810
12/21/20,18081996,319773
12/22/20,18283633,323012
12/23/20,18511396,326424
12/24/20,18704907,329248
12/25/20,18805838,330377
12/26/20,19022699,332023
12/27/20,19174788,333253
12/28/20,19363798,335152
12/29/20,19564828,338780
12/30/20,19793777,342588
12/31/20,20024801,346050
1/1/21,20172049,347970
1/2/21,20463659,350343
1/3/21,20665439,351694
1/4/21,20917269,353743
1/5/21,21152285,357432
1/6/21,21408251,361396
1/7/21,21688585,365509
1/8/21,21989362,369404
1/9/21,22241281,372663
1/10/21,22449576,374440
1/11/21,22675892,376488
1/12/21,22905869,380894
1/13/21,23135194,384824
1/14/21,23374716,388804
1/15/21,23614569,392553
1/16/21,23816762,395894
1/17/21,23986856,397624
1/18/21,24127989,399065
1/19/21,24314933,401836
1/20/21,24500421,406216
1/21/21,24690903,410351
1/22/21,24882468,414082
1/23/21,25050385,417404
1/24/21,25180061,419219
1/25/21,25336637,421126
1/26/21,25487275,425224
1/27/21,25643045,429326
1/28/21,25809220,433194
1/29/21,25973835,436794
1/30/21,26107635,439435
1/31/21,26221430,441299
2/1/21,26363284,443249
2/2/21,26478540,446860
2/3/21,26598723,450703
2/4/21,26724359,455820
2/5/21,26853860,459390
2/6/21,26958807,462052
2/7/21,27046088,463353
2/8/21,27139070,464936
2/9/21,27235460,468106
2/10/21,27330435,471360
2/11/21,27436075,475238
2/12/21,27535702,480701
2/13/21,27620354,484073
2/14/21,27684134,485154
2/15/21,27739406,486148
2/16/21,27803946,487855
2/17/21,27874107,490326
2/18/21,27945898,492951
2/19/21,28023910,495572
2/20/21,28093630,497403
2/21/21,28148810,498650
2/22/21,28208276,500104
2/23/21,28280189,502432
2/24/21,28354383,505642
2/25/21,28432264,508107
2/26/21,28510582,510283
2/27/21,28573256,511850
2/28/21,28624161,512979
3/1/21,28680857,514404
3/2/21,28738501,515710
3/3/21,28805113,518079
3/4/21,28872395,520028
3/5/21,28938090,522511
3/6/21,28994675,523970
3/7/21,29034739,524646
3/8/21,29129252,525466
3/9/21,29185151,527351
3/10/21,29243346,528825
3/11/21,29305733,530349
3/12/21,29369899,532054
3/13/21,29419456,533928
3/14/21,29457445,534497
3/15/21,29514609,535246
3/16/21,29569140,536491
3/17/21,29628071,537668
3/18/21,29688541,539226
3/19/21,29749164,540740
3/20/21,29803589,541512
3/21/21,29837782,541960
3/22/21,29892498,542608
3/23/21,29949244,543501
3/24/21,30029147,545091
3/25/21,30098263,546361
3/26/21,30172762,547621
3/27/21,30233462,548401
3/28/21,30277977,548891
3/29/21,30348716,549576
3/30/21,30410950,550523
3/31/21,30478886,551658
4/1/21,30556079,552615
4/2/21,30624668,553571
4/3/21,30688804,554324
4/4/21,30725627,554596
4/5/21,30802221,555126
4/6/21,30864193,556035
4/7/21,30937283,558606
4/8/21,31017741,559608
4/9/21,31099323,560554
4/10/21,31164081,561258
4/11/21,31212058,561559
4/12/21,31283990,562024
4/13/21,31361311,563007
4/14/21,31437061,563942
4/15/21,31510755,564859
4/16/21,31589109,565794
4/17/21,31642983,566471
4/18/21,31684382,566829
4/19/21,31754642,567314
4/20/21,31815666,568146
